,./Results/demo_toys/var-MixGau
0,"tensor(0.1800, device='cuda:2')"
1,"tensor(0.8757, device='cuda:2')"
2,"tensor(0.5239, device='cuda:2')"
3,"tensor(0.4892, device='cuda:2')"
4,"tensor(0.4682, device='cuda:2')"
5,"tensor(0.5094, device='cuda:2')"
6,"tensor(0.5016, device='cuda:2')"
7,"tensor(0.4927, device='cuda:2')"
8,"tensor(0.5094, device='cuda:2')"
9,"tensor(0.5028, device='cuda:2')"
10,"tensor(0.5176, device='cuda:2')"
11,"tensor(0.4948, device='cuda:2')"
12,"tensor(0.5091, device='cuda:2')"
13,"tensor(0.5099, device='cuda:2')"
14,"tensor(0.5002, device='cuda:2')"
15,"tensor(0.5009, device='cuda:2')"
16,"tensor(0.5021, device='cuda:2')"
17,"tensor(0.5018, device='cuda:2')"
18,"tensor(0.4952, device='cuda:2')"
19,"tensor(0.5071, device='cuda:2')"
