,./Results/simulation/mean-MixGau
0,"tensor(-0.0051, device='cuda:2')"
1,"tensor(0.0355, device='cuda:2')"
2,"tensor(-0.0527, device='cuda:2')"
3,"tensor(0.0267, device='cuda:2')"
4,"tensor(0.0157, device='cuda:2')"
5,"tensor(-0.0460, device='cuda:2')"
6,"tensor(0.0364, device='cuda:2')"
7,"tensor(0.0210, device='cuda:2')"
8,"tensor(-0.0156, device='cuda:2')"
9,"tensor(0.0131, device='cuda:2')"
10,"tensor(0.0176, device='cuda:2')"
11,"tensor(-0.0104, device='cuda:2')"
12,"tensor(0.0188, device='cuda:2')"
13,"tensor(-0.0154, device='cuda:2')"
14,"tensor(0.0234, device='cuda:2')"
15,"tensor(0.0120, device='cuda:2')"
16,"tensor(-0.0036, device='cuda:2')"
17,"tensor(0.0013, device='cuda:2')"
18,"tensor(0.0101, device='cuda:2')"
19,"tensor(0.0172, device='cuda:2')"
