,./Results/simulation/var-Gau
0,"tensor(0.4431, device='cuda:2')"
1,"tensor(0.1435, device='cuda:2')"
2,"tensor(0.0976, device='cuda:2')"
3,"tensor(0.1132, device='cuda:2')"
4,"tensor(0.1426, device='cuda:2')"
5,"tensor(0.1342, device='cuda:2')"
6,"tensor(0.1154, device='cuda:2')"
7,"tensor(0.1125, device='cuda:2')"
8,"tensor(0.1227, device='cuda:2')"
9,"tensor(0.1432, device='cuda:2')"
10,"tensor(0.1350, device='cuda:2')"
11,"tensor(0.1309, device='cuda:2')"
12,"tensor(0.1347, device='cuda:2')"
13,"tensor(0.1292, device='cuda:2')"
14,"tensor(0.1321, device='cuda:2')"
15,"tensor(0.1253, device='cuda:2')"
16,"tensor(0.1290, device='cuda:2')"
17,"tensor(0.1399, device='cuda:2')"
18,"tensor(0.1312, device='cuda:2')"
19,"tensor(0.1298, device='cuda:2')"
